time,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,datetime,year,month,day,hour,minute,second,time_interval,soc_rate,mile_rate,used_soc,mile,driving_time,motor_voltage_rate,motor_current_rate,total_voltage_rate,total_current_rate,total_power_transient,motor_power_transient,total_power,motor_power,temp_diff,soc_start,cut_point,brake_ratio,stop_ratio,accelerate_ratio,work_condition,work_condition_color,work_condition_0,work_condition_1,work_condition_2,work_condition_3
63643911722.0,0.0,536.0,0.0,98.0,18.0,12.0,540.0,0.0,43386.3,2018-01-19 08:22:02,2018.0,1.0,19.0,8.0,22.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0,0.0,0.0,0.0,0.0,6.0,98.0,-1.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911732.0,8.0,535.6,2.0,98.0,18.0,12.0,540.0,0.0,43386.3,2018-01-19 08:22:12,2018.0,1.0,19.0,8.0,22.0,12.0,10.0,0.0,0.1,0.0,0.0,10.0,-1.0,0.0,-0.5,8.0,1071.2,0.0,1071.2,0.0,6.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911742.0,3.0,535.1,10.0,98.0,18.0,12.0,539.0,0.0,43386.4,2018-01-19 08:22:22,2018.0,1.0,19.0,8.0,22.0,22.0,10.0,0.0,0.0,0.0,0.09999999999854481,20.0,0.0,0.0,-0.8,-3.0,5351.0,0.0,6422.2,0.0,6.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911752.0,0.0,534.3,7.0,98.0,18.0,13.0,539.0,0.0,43386.4,2018-01-19 08:22:32,2018.0,1.0,19.0,8.0,22.0,32.0,10.0,0.0,0.0,0.0,0.09999999999854481,30.0,0.0,0.0,0.0,1.0,3740.0999999999995,0.0,10162.3,0.0,5.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911762.0,0.0,534.3,8.0,98.0,18.0,13.0,539.0,0.0,43386.4,2018-01-19 08:22:42,2018.0,1.0,19.0,8.0,22.0,42.0,10.0,0.0,0.0,0.0,0.09999999999854481,40.0,-1.0,0.0,-0.1,3.0,4274.4,0.0,14436.699999999999,0.0,5.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911772.0,0.0,534.2,11.0,98.0,18.0,13.0,538.0,0.0,43386.4,2018-01-19 08:22:52,2018.0,1.0,19.0,8.0,22.0,52.0,10.0,0.0,0.0,0.0,0.09999999999854481,50.0,0.0,0.0,0.0,5.0,5876.200000000001,0.0,20312.9,0.0,5.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911782.0,0.0,534.2,16.0,98.0,18.0,13.0,538.0,0.0,43386.4,2018-01-19 08:23:02,2018.0,1.0,19.0,8.0,23.0,2.0,10.0,0.0,0.0,0.0,0.09999999999854481,60.0,1.0,0.0,0.8,-6.0,8547.2,0.0,28860.100000000002,0.0,5.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911792.0,0.0,535.0,10.0,98.0,18.0,13.0,539.0,0.0,43386.4,2018-01-19 08:23:12,2018.0,1.0,19.0,8.0,23.0,12.0,10.0,0.0,0.0,0.0,0.09999999999854481,70.0,0.0,0.0,-0.3,2.0,5350.0,0.0,34210.100000000006,0.0,5.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911802.0,1.0,534.7,12.0,98.0,18.0,13.0,539.0,0.0,43386.4,2018-01-19 08:23:22,2018.0,1.0,19.0,8.0,23.0,22.0,10.0,0.0,0.0,0.0,0.09999999999854481,80.0,0.0,0.0,0.2,-2.0,6416.400000000001,0.0,40626.50000000001,0.0,5.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63643911812.0,0.0,534.9,10.0,98.0,18.0,13.0,539.0,0.0,43386.4,2018-01-19 08:23:32,2018.0,1.0,19.0,8.0,23.0,32.0,10.0,0.0,0.0,0.0,0.09999999999854481,90.0,0.0,0.0,0.2,-1.0,5349.0,0.0,45975.50000000001,0.0,5.0,98.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
