time,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,datetime,year,month,day,hour,minute,second,time_interval,soc_rate,mile_rate,used_soc,mile,driving_time,motor_voltage_rate,motor_current_rate,total_voltage_rate,total_current_rate,total_power_transient,motor_power_transient,total_power,motor_power,temp_diff,soc_start,cut_point,brake_ratio,stop_ratio,accelerate_ratio,work_condition,work_condition_color,work_condition_0,work_condition_1,work_condition_2,work_condition_3
63643336527.0,1.0,535.2,5.0,65.0,20.0,16.0,535.0,6.0,35026.2,2018-01-12 16:35:27,2018.0,1.0,12.0,16.0,35.0,27.0,10.0,0.0,0.1,0.0,0.0,0.0,0.0,-7.0,-0.2,-9.0,2676.0,3210.0,2676.0,3210.0,4.0,65.0,-1.0,0.0,0.0,1.0,0,red,1.0,0.0,0.0,0.0
63643336537.0,12.0,535.0,-4.0,65.0,20.0,16.0,535.0,-1.0,35026.3,2018-01-12 16:35:37,2018.0,1.0,12.0,16.0,35.0,37.0,10.0,0.0,0.0,0.0,0.10000000000582077,10.0,-1.0,3.0,-0.9,9.0,-2140.0,-535.0,1606.0,2942.5,4.0,65.0,0.0,0.5,0.0,0.5,0,red,1.0,0.0,0.0,0.0
63643336547.0,3.0,534.1,5.0,65.0,20.0,16.0,534.0,2.0,35026.3,2018-01-12 16:35:47,2018.0,1.0,12.0,16.0,35.0,47.0,10.0,0.0,0.0,0.0,0.10000000000582077,20.0,0.0,5.0,-0.4,10.0,2670.5,1068.0,4276.5,4010.5,4.0,65.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0,red,1.0,0.0,0.0,0.0
63643336557.0,3.0,533.7,15.0,65.0,20.0,16.0,534.0,7.0,35026.3,2018-01-12 16:35:57,2018.0,1.0,12.0,16.0,35.0,57.0,10.0,0.0,0.0,0.0,0.10000000000582077,30.0,1.0,-7.0,0.7,-13.0,8005.500000000001,3738.0,12282.0,7748.5,4.0,65.0,0.0,0.25,0.0,0.75,0,red,1.0,0.0,0.0,0.0
63643336567.0,0.0,534.4,2.0,65.0,20.0,16.0,535.0,0.0,35026.3,2018-01-12 16:36:07,2018.0,1.0,12.0,16.0,36.0,7.0,10.0,0.0,0.0,0.0,0.10000000000582077,40.0,0.0,0.0,0.2,-1.0,1068.8,0.0,13350.8,7748.5,4.0,65.0,0.0,0.2,0.2,0.6,0,red,1.0,0.0,0.0,0.0
63643336577.0,0.0,534.6,1.0,65.0,20.0,16.0,535.0,0.0,35026.3,2018-01-12 16:36:17,2018.0,1.0,12.0,16.0,36.0,17.0,10.0,0.0,0.0,0.0,0.10000000000582077,50.0,-1.0,10.0,-0.3,8.0,534.6,0.0,13885.4,7748.5,4.0,65.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0,red,1.0,0.0,0.0,0.0
63643336587.0,4.0,534.3,9.0,65.0,20.0,16.0,534.0,10.0,35026.3,2018-01-12 16:36:27,2018.0,1.0,12.0,16.0,36.0,27.0,10.0,0.0,0.0,0.0,0.10000000000582077,60.0,-2.0,15.0,-3.5,33.0,4808.7,5340.0,18694.1,13088.5,4.0,65.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,red,1.0,0.0,0.0,0.0
63643336597.0,23.0,530.8,42.0,65.0,20.0,16.0,532.0,25.0,35026.3,2018-01-12 16:36:37,2018.0,1.0,12.0,16.0,36.0,37.0,10.0,0.0,0.1,0.0,0.10000000000582077,70.0,-2.0,14.0,-0.4,6.0,22293.6,13300.0,40987.7,26388.5,4.0,65.0,0.0,0.125,0.25,0.625,1,black,0.875,0.125,0.0,0.0
63643336607.0,29.0,530.4,48.0,65.0,20.0,16.0,530.0,39.0,35026.4,2018-01-12 16:36:47,2018.0,1.0,12.0,16.0,36.0,47.0,10.0,0.0,0.1,0.0,0.20000000000436557,80.0,4.0,-47.0,3.1,-56.0,25459.199999999997,20670.0,66446.9,47058.5,4.0,65.0,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,1,black,0.7777777777777778,0.2222222222222222,0.0,0.0
63643336617.0,32.0,533.5,-8.0,65.0,20.0,16.0,534.0,-8.0,35026.5,2018-01-12 16:36:57,2018.0,1.0,12.0,16.0,36.0,57.0,10.0,0.0,0.1,0.0,0.3000000000029104,90.0,0.0,2.0,0.3,2.0,-4268.0,-4272.0,64312.899999999994,44922.5,4.0,65.0,0.0,0.2,0.2,0.6,1,black,0.7,0.3,0.0,0.0
